"","class","tw","venue"
"274","field","Kochi Tuskers Kerala","Feroz Shah Kotla"
"275","field","Deccan Chargers","Rajiv Gandhi International Stadium, Uppal"
"276","bat","Rajasthan Royals","MA Chidambaram Stadium, Chepauk"
"277","field","Pune Warriors","Dr DY Patil Sports Academy"
"278","field","Kolkata Knight Riders","Nehru Stadium"
"279","field","Delhi Daredevils","Rajiv Gandhi International Stadium, Uppal"
"280","field","Kings XI Punjab","M Chinnaswamy Stadium"
"281","bat","Chennai Super Kings","Eden Gardens"
"282","field","Delhi Daredevils","Wankhede Stadium"
"283","bat","Kochi Tuskers Kerala","M Chinnaswamy Stadium"
"284","bat","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"285","field","Rajasthan Royals","Sawai Mansingh Stadium"
"286","bat","Deccan Chargers","Rajiv Gandhi International Stadium, Uppal"
"287","field","Mumbai Indians","Punjab Cricket Association Stadium, Mohali"
"288","field","Royal Challengers Bangalore","Sawai Mansingh Stadium"
"289","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"290","field","Kings XI Punjab","Holkar Cricket Stadium"
"291","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"292","bat","Deccan Chargers","Wankhede Stadium"
"293","field","Delhi Daredevils","Himachal Pradesh Cricket Association Stadium"
"294","field","Kochi Tuskers Kerala","Holkar Cricket Stadium"
"295","field","Deccan Chargers","Dr DY Patil Sports Academy"
"296","bat","Kings XI Punjab","Himachal Pradesh Cricket Association Stadium"
"297","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"298","field","Kolkata Knight Riders","Dr DY Patil Sports Academy"
"299","bat","Mumbai Indians","Wankhede Stadium"
"300","field","Kings XI Punjab","Himachal Pradesh Cricket Association Stadium"
"301","bat","Delhi Daredevils","Feroz Shah Kotla"
"302","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"303","field","Mumbai Indians","Eden Gardens"
"304","field","Chennai Super Kings","Wankhede Stadium"
"305","field","Mumbai Indians","Wankhede Stadium"
"306","field","Mumbai Indians","MA Chidambaram Stadium, Chepauk"
"307","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"308","field","Mumbai Indians","MA Chidambaram Stadium, Chepauk"
"309","field","Delhi Daredevils","Eden Gardens"
"310","field","Mumbai Indians","Wankhede Stadium"
"311","field","Kings XI Punjab","Sawai Mansingh Stadium"
"312","field","Delhi Daredevils","M Chinnaswamy Stadium"
"313","field","Deccan Chargers","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
"314","field","Kolkata Knight Riders","Sawai Mansingh Stadium"
"315","bat","Pune Warriors","Subrata Roy Sahara Stadium"
"316","bat","Deccan Chargers","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
"317","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"318","field","Delhi Daredevils","Feroz Shah Kotla"
"319","field","Rajasthan Royals","Wankhede Stadium"
"320","bat","Royal Challengers Bangalore","MA Chidambaram Stadium, Chepauk"
"321","field","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"322","bat","Rajasthan Royals","Eden Gardens"
"323","bat","Deccan Chargers","Feroz Shah Kotla"
"324","bat","Chennai Super Kings","Subrata Roy Sahara Stadium"
